#,الضابط,الهدف,السؤال,Yes,No,N/A,ملاحظات
1.1,إطار حوكمة IT,التأكد من وجود إطار معتمد,هل يوجد إطار حوكمة IT معتمد من مجلس الإدارة؟,☐,☐,☐,
1.2,إطار حوكمة IT,التأكد من وجود إطار معتمد,هل تاريخ آخر مراجعة للإطار حديث (آخر سنتين)؟,☐,☐,☐,
1.3,إطار حوكمة IT,التأكد من وجود إطار معتمد,هل الإطار يتضمن COBIT 2019 أو معيار معادل؟,☐,☐,☐,
1.4,إطار حوكمة IT,التأكد من وجود إطار معتمد,هل الخطة الاستراتيجية لـ IT مرتبطة بأهداف العمل؟,☐,☐,☐,
2.1,دور مجلس الإدارة,التأكد من الرقابة الفعّالة,هل يتلقى مجلس الإدارة تقارير IT دورية (ربع سنوية أو أكثر)؟,☐,☐,☐,
2.2,دور مجلس الإدارة,التأكد من الرقابة الفعّالة,هل يوجد بند ثابت بجدول أعمال المجلس لمناقشة مخاطر IT؟,☐,☐,☐,
2.3,دور مجلس الإدارة,التأكد من الرقابة الفعّالة,هل يوجد لجنة تدقيق مستقلة تراجع الأمن السيبراني؟,☐,☐,☐,
2.4,دور مجلس الإدارة,التأكد من الرقابة الفعّالة,هل تلقى أعضاء المجلس تدريباً على مخاطر التكنولوجيا؟,☐,☐,☐,
3.1,السياسات والإجراءات,وجود منظومة سياسات شاملة,هل توجد سياسة موثقة لأمن المعلومات؟,☐,☐,☐,
3.2,السياسات والإجراءات,وجود منظومة سياسات شاملة,هل توجد سياسة موثقة لإدارة الوصول (IAM)؟,☐,☐,☐,
3.3,السياسات والإجراءات,وجود منظومة سياسات شاملة,هل توجد سياسة موثقة للاحتفاظ بالبيانات (Data Retention)؟,☐,☐,☐,
3.4,السياسات والإجراءات,وجود منظومة سياسات شاملة,هل توجد سياسة موثقة لخطة استمرارية العمل (BCP/DRP)؟,☐,☐,☐,
3.5,السياسات والإجراءات,وجود منظومة سياسات شاملة,هل تُراجَع جميع السياسات بشكل دوري (سنوي على الأقل)؟,☐,☐,☐,
3.6,السياسات والإجراءات,وجود منظومة سياسات شاملة,هل توقّع الموظفون على استلام وفهم السياسات؟,☐,☐,☐,
4.1,الأدوار والمسؤوليات,وضوح الأدوار والمسؤوليات,هل توجد مصفوفة RACI موثقة لجميع وظائف IT الحرجة؟,☐,☐,☐,
4.2,الأدوار والمسؤوليات,وضوح الأدوار والمسؤوليات,هل تم تعيين CISO (Chief Information Security Officer) رسمياً؟,☐,☐,☐,
4.3,الأدوار والمسؤوليات,وضوح الأدوار والمسؤوليات,هل تم تعيين DPO (Data Protection Officer) وفقاً لقانون 24/2023؟,☐,☐,☐,
4.4,الأدوار والمسؤوليات,وضوح الأدوار والمسؤوليات,هل لـ DPO استقلالية كافية وخط إبلاغ مباشر للإدارة العليا؟,☐,☐,☐,
4.5,الأدوار والمسؤوليات,وضوح الأدوار والمسؤوليات,هل يوجد خلف (Backup) معيّن لكل دور حرج؟,☐,☐,☐,
